FlightDate,UniqueCarrier,Carrier,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,ArrTime,ArrDelay,ArrDelayMinutes,ArrivalDelayGroups,Cancelled,ActualElapsedTime,AirTime,Distance
1/1/2014,AA,AA,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,914,14,14,0,0,1238,13,13,0,0,384,359,2475
1/2/2014,AA,AA,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,857,-3,0,0,-1,1226,1,1,0,0,389,340,2475
1/3/2014,AA,AA,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,,,,,,,,,,1,,,2475
1/4/2014,AA,AA,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,1005,65,65,1,4,1324,59,59,3,0,379,346,2475
1/5/2014,AA,AA,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,1050,110,110,1,7,1415,110,110,7,0,385,347,2475
1/6/2014,AA,AA,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,917,17,17,1,1,1217,-8,0,-1,0,360,323,2475
1/7/2014,AA,AA,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,910,10,10,0,0,1212,-13,0,-1,0,362,349,2475
1/8/2014,AA,AA,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,923,23,23,1,1,1215,-10,0,-1,0,352,334,2475
1/22/2014,AA,AA,LAS,"Las Vegas, NV",NV,DFW,"Dallas/Fort Worth, TX",TX,650,-5,0,0,-1,1118,-17,0,-2,0,148,127,1055
1/23/2014,AA,AA,LAS,"Las Vegas, NV",NV,DFW,"Dallas/Fort Worth, TX",TX,656,1,1,0,0,1137,2,2,0,0,161,129,1055
1/24/2014,AA,AA,LAS,"Las Vegas, NV",NV,DFW,"Dallas/Fort Worth, TX",TX,653,-2,0,0,-1,1124,-11,0,-1,0,151,125,1055
1/25/2014,AA,AA,LAS,"Las Vegas, NV",NV,DFW,"Dallas/Fort Worth, TX",TX,656,1,1,0,0,1131,-4,0,-1,0,155,136,1055
1/26/2014,AA,AA,LAS,"Las Vegas, NV",NV,DFW,"Dallas/Fort Worth, TX",TX,653,-2,0,0,-1,1123,-12,0,-1,0,150,125,1055
1/27/2014,AA,AA,LAS,"Las Vegas, NV",NV,DFW,"Dallas/Fort Worth, TX",TX,653,-2,0,0,-1,1128,-7,0,-1,0,155,130,1055
1/28/2014,AA,AA,LAS,"Las Vegas, NV",NV,DFW,"Dallas/Fort Worth, TX",TX,652,-3,0,0,-1,1123,-12,0,-1,0,151,126,1055
1/29/2014,AA,AA,LAS,"Las Vegas, NV",NV,DFW,"Dallas/Fort Worth, TX",TX,651,-4,0,0,-1,1128,-7,0,-1,0,157,128,1055
1/30/2014,AA,AA,LAS,"Las Vegas, NV",NV,DFW,"Dallas/Fort Worth, TX",TX,655,0,0,0,0,1125,-10,0,-1,0,150,126,1055
1/31/2014,AA,AA,LAS,"Las Vegas, NV",NV,DFW,"Dallas/Fort Worth, TX",TX,650,-5,0,0,-1,1244,,,,0,,,1055
1/1/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1052,-8,0,0,-1,1307,-23,0,-2,0,195,175,1192
1/2/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1059,-1,0,0,-1,1345,15,15,1,0,226,194,1192
1/3/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1124,24,24,1,1,1326,-4,0,-1,0,182,168,1192
1/4/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1100,0,0,0,0,1322,-8,0,-1,0,202,174,1192
1/5/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1100,1,1,0,0,1337,8,8,0,0,217,190,1192
1/6/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1101,1,1,0,0,1350,20,20,1,0,229,204,1192
1/7/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1103,3,3,0,0,1327,-3,0,-1,0,204,174,1192
1/8/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1104,4,4,0,0,1332,2,2,0,0,208,185,1192
1/9/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1053,-7,0,0,-1,1326,-4,0,-1,0,213,186,1192
1/10/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1055,-5,0,0,-1,1324,-6,0,-1,0,209,176,1192
1/11/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1100,0,0,0,0,1324,-6,0,-1,0,204,176,1192
1/12/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1108,9,9,0,0,1320,-9,0,-1,0,192,173,1192
1/13/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1053,-7,0,0,-1,1319,-11,0,-1,0,206,193,1192
1/14/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1053,-7,0,0,-1,1325,-5,0,-1,0,212,191,1192
1/15/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1236,96,96,1,6,1440,70,70,4,0,184,166,1192
1/16/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1059,-1,0,0,-1,1324,-6,0,-1,0,205,178,1192
1/17/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1101,1,1,0,0,1322,-8,0,-1,0,201,177,1192
1/18/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1057,-3,0,0,-1,1320,-10,0,-1,0,203,174,1192
1/19/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1053,-6,0,0,-1,1304,-25,0,-2,0,191,162,1192
1/20/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1057,-3,0,0,-1,1311,-19,0,-2,0,194,177,1192
1/21/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1057,-3,0,0,-1,1313,-17,0,-2,0,196,166,1192
1/22/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1059,-1,0,0,-1,1320,-10,0,-1,0,201,178,1192
1/23/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1053,-7,0,0,-1,1332,2,2,0,0,219,195,1192
1/24/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1052,-8,0,0,-1,1305,-25,0,-2,0,193,177,1192
1/25/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1102,2,2,0,0,1315,-15,0,-1,0,193,178,1192
1/26/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1055,-4,0,0,-1,1307,-22,0,-2,0,192,178,1192
1/27/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1056,-4,0,0,-1,1329,-1,0,-1,0,213,191,1192
1/28/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1049,-11,0,0,-1,1324,-6,0,-1,0,215,195,1192
